"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-08-22",2025-07-23,"2025-08-22",12
"2","ild","2025-08-22",2025-07-23,"2025-08-22",12
"3","ssh","2025-08-22",2025-07-23,"2025-08-22",12
"4","sst","2025-08-22",2025-07-23,"2025-08-22",12
"5","su","2025-08-22",2025-07-23,"2025-08-22",12
"6","sv","2025-08-22",2025-07-23,"2025-08-22",12
"7","sustr","2025-08-22",2025-07-23,"2025-08-22",12
"8","svstr","2025-08-22",2025-07-23,"2025-08-22",12
"9","sst_sd","2025-08-22",2025-07-23,"2025-08-22",12
"10","ssh_sd","2025-08-22",2025-07-23,"2025-08-22",12
"11","curl","2025-08-22",2025-07-23,"2025-08-22",12
