"","Date","value","zone","species","metric","creation_date"
"1","2023-03-01",0.134816583034224,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"2","2023-03-01",0.125213870847925,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"3","2023-03-02",0.139567147891778,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"4","2023-03-02",0.127870217647221,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"5","2023-03-03",0.147831650545162,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"6","2023-03-03",0.135891401411617,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"7","2023-03-04",0.15141146121458,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"8","2023-03-04",0.138033208891111,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"9","2023-03-05",0.159204673244364,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"10","2023-03-05",0.14755465526554,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"11","2023-03-06",0.165738456487037,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"12","2023-03-06",0.152271425120856,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"13","2023-03-07",0.165918733464657,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"14","2023-03-07",0.151359742203707,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"15","2023-03-08",0.16320820174609,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"16","2023-03-08",0.144775124782584,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"17","2023-03-09",0.165142722755697,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"18","2023-03-09",0.143774060834565,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"19","2023-03-10",0.155096291780766,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"20","2023-03-10",0.138113883928568,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"21","2023-03-11",0.156093880934198,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"22","2023-03-11",0.137869043885557,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"23","2023-03-12",0.144261684569719,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"24","2023-03-12",0.119210298975454,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"25","2023-03-13",0.143907664506976,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"26","2023-03-13",0.117044539286921,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"27","2023-03-14",0.142425118185089,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"28","2023-03-14",0.116954744155798,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"29","2023-03-15",0.143608071575627,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"30","2023-03-15",0.125155511982765,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"31","2023-03-16",0.142397371513964,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"32","2023-03-16",0.118669410132761,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"33","2023-03-17",0.148657275322119,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"34","2023-03-17",0.129640383728137,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"35","2023-03-18",0.152881345128173,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"36","2023-03-18",0.136075122707131,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"37","2023-03-19",0.157142553209425,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"38","2023-03-19",0.141499069411521,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"39","2023-03-20",0.161843725160698,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"40","2023-03-20",0.148335644028316,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"41","2023-03-21",0.164090247960142,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"42","2023-03-21",0.145041375933817,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"43","2023-03-22",0.166648878836395,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"44","2023-03-22",0.148539806587167,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"45","2023-03-23",0.167424038555466,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"46","2023-03-23",0.156141113848625,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"47","2023-03-24",0.163558833542959,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"48","2023-03-24",0.14512357225055,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"49","2023-03-25",0.156330456999101,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"50","2023-03-25",0.136918881995986,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"51","2023-03-26",0.152846507207968,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"52","2023-03-26",0.132318595225917,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"53","2023-03-27",0.147632379365833,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"54","2023-03-27",0.123891717430502,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"55","2023-03-28",0.142123477852112,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"56","2023-03-28",0.125028935302717,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"57","2023-03-29",0.138211588423297,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"58","2023-03-29",0.123579230869383,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"59","2023-03-30",0.140260152756349,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"60","2023-03-30",0.12731279704174,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"61","2023-03-31",0.149342098804436,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"62","2023-03-31",0.134546804099825,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"63","2023-04-01",0.144352539148106,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"64","2023-04-01",0.135090657300176,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"65","2023-04-02",0.155082346650033,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"66","2023-04-02",0.144681470091291,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"67","2023-04-03",0.166340756874514,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"68","2023-04-03",0.149372621475968,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
"69","2023-04-04",0.162644420700623,"RAMP zone 3","anchovy","Probability of presence",2023-11-22
"70","2023-04-04",0.14313043285468,"RAMP zone 4","anchovy","Probability of presence",2023-11-22
