"","Date","value","zone","species","metric","creation_date"
"1","2023-03-01",0.000517169717858674,"RAMP zone 3","Humpback","Density",2023-11-22
"2","2023-03-01",0.000176217263427279,"RAMP zone 4","Humpback","Density",2023-11-22
"3","2023-03-02",0.000450213091532669,"RAMP zone 3","Humpback","Density",2023-11-22
"4","2023-03-02",0.000159056440965042,"RAMP zone 4","Humpback","Density",2023-11-22
"5","2023-03-03",0.00052638713021428,"RAMP zone 3","Humpback","Density",2023-11-22
"6","2023-03-03",0.000221130796090074,"RAMP zone 4","Humpback","Density",2023-11-22
"7","2023-03-04",0.000694116752741262,"RAMP zone 3","Humpback","Density",2023-11-22
"8","2023-03-04",0.000288506727137025,"RAMP zone 4","Humpback","Density",2023-11-22
"9","2023-03-05",0.000631145639829402,"RAMP zone 3","Humpback","Density",2023-11-22
"10","2023-03-05",0.00024686077240348,"RAMP zone 4","Humpback","Density",2023-11-22
"11","2023-03-06",0.000614009457750624,"RAMP zone 3","Humpback","Density",2023-11-22
"12","2023-03-06",0.000246195477025087,"RAMP zone 4","Humpback","Density",2023-11-22
"13","2023-03-07",0.000697780601536205,"RAMP zone 3","Humpback","Density",2023-11-22
"14","2023-03-07",0.000266764785561743,"RAMP zone 4","Humpback","Density",2023-11-22
"15","2023-03-08",0.00061751902136084,"RAMP zone 3","Humpback","Density",2023-11-22
"16","2023-03-08",0.000261891376195715,"RAMP zone 4","Humpback","Density",2023-11-22
"17","2023-03-09",0.000642142598887459,"RAMP zone 3","Humpback","Density",2023-11-22
"18","2023-03-09",0.000241510445789832,"RAMP zone 4","Humpback","Density",2023-11-22
"19","2023-03-10",0.000625985931595551,"RAMP zone 3","Humpback","Density",2023-11-22
"20","2023-03-10",0.000231535481385453,"RAMP zone 4","Humpback","Density",2023-11-22
"21","2023-03-11",0.0010097504067732,"RAMP zone 3","Humpback","Density",2023-11-22
"22","2023-03-11",0.000318465231713338,"RAMP zone 4","Humpback","Density",2023-11-22
"23","2023-03-12",0.00113770750738342,"RAMP zone 3","Humpback","Density",2023-11-22
"24","2023-03-12",0.000655467851496453,"RAMP zone 4","Humpback","Density",2023-11-22
"25","2023-03-13",0.00107236741165831,"RAMP zone 3","Humpback","Density",2023-11-22
"26","2023-03-13",0.000649027713750599,"RAMP zone 4","Humpback","Density",2023-11-22
"27","2023-03-14",0.00113588329257274,"RAMP zone 3","Humpback","Density",2023-11-22
"28","2023-03-14",0.000615468972839904,"RAMP zone 4","Humpback","Density",2023-11-22
"29","2023-03-15",0.00135362206588398,"RAMP zone 3","Humpback","Density",2023-11-22
"30","2023-03-15",0.000507732564071498,"RAMP zone 4","Humpback","Density",2023-11-22
"31","2023-03-16",0.00110721152903857,"RAMP zone 3","Humpback","Density",2023-11-22
"32","2023-03-16",0.000625859752174962,"RAMP zone 4","Humpback","Density",2023-11-22
"33","2023-03-17",0.00131832867021876,"RAMP zone 3","Humpback","Density",2023-11-22
"34","2023-03-17",0.00057996616026875,"RAMP zone 4","Humpback","Density",2023-11-22
"35","2023-03-18",0.00150825440892282,"RAMP zone 3","Humpback","Density",2023-11-22
"36","2023-03-18",0.000641599212199052,"RAMP zone 4","Humpback","Density",2023-11-22
"37","2023-03-19",0.00153773654818815,"RAMP zone 3","Humpback","Density",2023-11-22
"38","2023-03-19",0.000727415051402101,"RAMP zone 4","Humpback","Density",2023-11-22
"39","2023-03-20",0.00149651395633316,"RAMP zone 3","Humpback","Density",2023-11-22
"40","2023-03-20",0.000493475003040225,"RAMP zone 4","Humpback","Density",2023-11-22
"41","2023-03-21",0.00155001695628614,"RAMP zone 3","Humpback","Density",2023-11-22
"42","2023-03-21",0.000542973127773637,"RAMP zone 4","Humpback","Density",2023-11-22
"43","2023-03-22",0.00145956367762452,"RAMP zone 3","Humpback","Density",2023-11-22
"44","2023-03-22",0.000464468139995209,"RAMP zone 4","Humpback","Density",2023-11-22
"45","2023-03-23",0.00145115427945293,"RAMP zone 3","Humpback","Density",2023-11-22
"46","2023-03-23",0.000403102829717034,"RAMP zone 4","Humpback","Density",2023-11-22
"47","2023-03-24",0.00128389795187727,"RAMP zone 3","Humpback","Density",2023-11-22
"48","2023-03-24",0.000470702248455834,"RAMP zone 4","Humpback","Density",2023-11-22
"49","2023-03-25",0.00115927698755198,"RAMP zone 3","Humpback","Density",2023-11-22
"50","2023-03-25",0.000528377527051962,"RAMP zone 4","Humpback","Density",2023-11-22
"51","2023-03-26",0.00115142723571041,"RAMP zone 3","Humpback","Density",2023-11-22
"52","2023-03-26",0.000492353409184962,"RAMP zone 4","Humpback","Density",2023-11-22
